Slope_Position,Surface_stoniness,Area_affected,Erosion_degree,Sensitivity_to_capping,Wind_Speed_kmh,Temperature,Soil_Moisture_%,Humidity_%,Rainfall_mm,River_Discharge_m3s,Land_Use_Type,Elevation_m,Flood_Occurrence
H,N,1,S,N,28.59979391,25,22.95930502,80.36217965,56.18101783,196.8177601,Forest,1600,0
D,N,4,S,N,40.27161646,24,47.93306632,87.80088383,109.607146,236.7178297,Agriculture,1600,0
H,N,1,V,N,38.00804649,30,79.10620851,55.02807393,142.7990913,427.2736966,Urban,1800,1
L,N,3,V,N,7.694995235,30,61.25574205,77.49244598,130.7987726,270.002193,Agriculture,1600,1
M,N,1,S,N,7.462473487,26,66.45928035,74.30475899,23.40279607,434.8248424,Forest,1600,0
M,N,1,S,N,13.40871839,24,56.11483567,89.96982261,23.39917805,44.06721549,Wetland,1800,0
M,N,2,S,N,18.05373632,24,58.45935952,94.36522363,8.712541825,388.3992186,Agriculture,1900,0
M,N,1,S,N,20.42277907,25,69.44369561,40.72940629,129.9264219,423.7738165,Urban,1900,0
M,N,1,S,N,33.98486084,26,27.47676062,80.44119514,90.16725176,90.90882642,Wetland,1600,0
M,N,1,S,N,2.834021608,23,44.25974746,43.11014795,106.2108867,215.1732662,Agriculture,1600,0
L,N,3,V,N,1.733635211,25,25.48466093,72.9315199,3.087674144,82.74988733,Agriculture,1800,0
M,N,1,V,N,19.59552815,29,79.13676056,57.25796374,145.4864778,353.3020645,Wetland,1800,1
M,M,2,S,N,34.85818461,23,76.08415378,58.40659597,124.8663961,267.673884,Wetland,1900,0
L,N,1,S,W,9.671767148,23,12.7598768,61.17751021,31.8508666,317.6616734,Wetland,1700,0
M,N,3,M,S,32.07522406,25,59.39026208,77.27754694,27.27374508,98.24348348,Urban,1600,0
D,N,5,V,N,12.9914069,28,76.76738222,60.04299794,140.5106765,305.872931,Urban,1700,1
D,N,3,M,N,44.30430544,24,22.64027416,83.96194304,45.63633644,20.74866275,Agriculture,1700,0
M,N,2,S,N,44.78449721,25,49.75616614,64.27164313,78.71346474,161.0337676,Agriculture,1800,0
L,N,2,S,S,14.86436021,26,74.08418083,44.10119202,64.7917528,279.8723307,Forest,1600,0
L,N,1,V,N,11.4996877,22,72.3762185,87.02559055,143.684371,428.967457,Urban,1600,1
A,N,1,M,N,20.5651986,23,58.81941871,57.14549948,91.77793421,333.4637237,Agriculture,1800,0
A,N,1,M,N,12.02657926,24,70.81443052,65.96601278,140.9240791,217.6981617,Wetland,1700,1
A,N,2,V,M,33.61919216,30,74.70773368,81.12663299,143.8216973,476.5600572,Wetland,1800,1
A,N,2,V,M,41.30323423,25,77.97407716,59.94736943,154.9542765,359.6226003,Urban,1900,1
A,N,1,M,N,33.65460655,28,76.09865424,43.39513937,138.4104976,465.0826014,Wetland,1600,1
M,F,2,S,M,41.21752236,23,43.19499517,62.43526282,117.7763942,263.7939866,Forest,1900,0
A,N,1,M,N,19.84960811,26,70.34298557,96.66691496,29.95106732,129.4521374,Agriculture,1800,0
A,N,1,S,N,7.815848535,27,79.1184579,78.50406384,127.1351658,226.4133432,Agriculture,1600,1
A,N,1,S,M,36.89754737,26,32.33703313,80.28874892,88.86218533,363.0424257,Agriculture,1900,0
A,N,1,M,N,18.02372526,26,68.02408319,77.93692922,6.967561908,60.651499,Urban,1900,0
A,N,1,S,N,33.56354126,26,12.59053443,51.93952834,91.13172779,151.3875641,Wetland,1700,0
M,N,1,S,W,13.5321971,26,51.73889149,65.10003185,25.57861855,266.2354539,Forest,1600,0
A,N,5,V,S,4.06148174,26,26.10061861,85.0563879,9.757738948,282.2082939,Urban,1900,0
A,N,2,S,N,49.62908977,28,18.439682,46.08237385,142.3328306,300.2915985,Agriculture,1900,0
A,N,1,S,M,7.810075397,27,15.38672411,56.67116657,144.844805,83.12766517,Forest,1700,0
H,N,1,S,S,49.4210497,26,68.74021431,56.57914651,121.2596022,189.8687024,Agriculture,1900,1
A,N,4,V,S,48.86399663,26,33.79124746,65.92113566,45.69206538,308.5971136,Agriculture,1900,0
A,N,4,V,S,39.6909052,27,70.73367401,98.82212446,114.6508171,484.9094323,Urban,1900,1
H,N,4,S,S,32.9711481,26,14.57494386,44.0501528,102.634954,363.8155688,Agriculture,1700,0
A,N,5,S,S,28.89035251,27,62.07032365,71.12205966,136.0228741,461.3018785,Forest,1900,1
A,N,4,V,S,43.30507727,27,67.76439047,50.76188092,138.3057352,381.1060292,Agriculture,1900,1
M,N,2,M,M,14.47197608,27,65.35062154,98.24059272,74.27653652,295.8584844,Wetland,1600,0
M,N,1,S,M,23.38406062,28,32.31267521,46.79821028,5.158278167,96.01168457,Agriculture,1600,0
H,N,1,S,S,30.96949847,24,53.81239635,64.21606014,136.3980603,333.3428259,Urban,1700,0
A,C,2,S,N,20.55952379,28,72.01844238,84.27309909,138.8169972,311.689783,Forest,1800,1
L,V,1,M,M,21.3743227,27,53.11042317,82.27326568,99.37834265,301.2345852,Urban,1600,0
A,N,2,V,M,16.51423338,24,76.30716323,65.36371821,146.7566614,244.892934,Wetland,1700,1
A,C,1,S,N,28.21159083,27,11.70805471,60.79145008,78.01020318,264.328302,Agriculture,1900,0
A,N,2,S,S,42.5287264,29,70.90692117,63.85674271,82.0065419,167.2212636,Urban,1900,0
A,N,1,S,S,10.0764189,30,11.48885876,55.85657579,27.72816833,259.6563463,Urban,1700,0
A,N,1,S,N,46.72165194,28,71.22911709,52.31997632,145.4376942,298.7779528,Urban,1900,1
A,N,1,S,M,34.45438269,28,77.02559938,68.98238185,126.2699235,402.5871987,Urban,1900,1
L,N,1,S,S,41.16366063,27,75.7347389,56.11202536,140.9248412,392.8884773,Wetland,1800,1
H,N,3,M,N,27.80953463,26,65.9148265,57.24769989,134.2241026,42.48314494,Wetland,1900,0
M,C,3,M,W,38.97583507,26,79.85538774,79.40536381,89.68499682,218.1230132,Agriculture,1600,0
A,N,2,S,W,0.810019867,28,34.54982708,98.1122399,138.2811353,329.1537198,Agriculture,1900,0
M,C,1,S,N,40.91902124,29,63.70318023,76.21823203,131.2738753,218.8584125,Forest,1700,1
H,M,3,M,W,2.006942954,27,38.13516395,44.61876802,29.39742936,138.377066,Wetland,1800,0
M,N,4,S,S,44.49566882,24,63.59129342,44.53501683,136.7840933,279.0855919,Urban,1900,1
A,M,4,V,W,49.59813736,26,53.92538243,97.08539325,148.7995496,273.5011677,Urban,1700,1
